Місце,Preview_pts,Адреса,Слот,Заявлено,Зараховано,База_очок
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,Лава1,Abraham (AVL),Abraham (AVL),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,Лава2,Merino (ARS),Merino (ARS),0
12,52,0x79065533bd4e3ed76a1e87b673e6339a7699cf7e9efa1d9404712dce3c6b092a,Лава3,Digne (AVL),Digne (AVL),4
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,1,Raya (ARS),Raya (ARS),6
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,2,Gvardiol (MCI),Tarkowski (EVE),1
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,3,Gabriel (ARS),Gabriel (ARS),6
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,4,Pedro Porro (TOT),Pedro Porro (TOT),0
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,5,Saliba (ARS),Saliba (ARS),8
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,6,M.Salah (LIV),M.Salah (LIV),1
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,7,Palmer (CHE),J.Gomes (WOL),2
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,8,B.Fernandes (MUN),B.Fernandes (MUN),9
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,9,Haaland (MCI),Wood (NFO),2
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,10,Watkins (AVL),Watkins (AVL),17
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,11,Isak (LIV),Isak (LIV),0
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,Лава1,Tarkowski (EVE),Tarkowski (EVE),1
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,Лава2,J.Gomes (WOL),J.Gomes (WOL),2
13,52,0x29d40aa6ead205dc22bd7b4754c88db9cbea02688a518065f09e0c1b0d964b7f,Лава3,Wood (NFO),Wood (NFO),2
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,1,Raya (ARS),Raya (ARS),6
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,2,Gabriel (ARS),Gabriel (ARS),6
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,3,Saliba (ARS),Saliba (ARS),8
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,4,Digne (AVL),Digne (AVL),4
14,52,0xeb248c76baf844b8f5101cd62d403e9318d75f4d61b8e58b2a89c1cc5a299101,5,Konsa (AVL),Konsa (AVL),1
