address,toursEntered,eplTours,wcTours,bestRank,podiums,topTen,prizesWon,prizeMOVE,prizeUSDCx,unclaimedMOVE,unclaimedUSDCx,bracketPrediction
0xb43ed8cb511f94bd44fbdbc53c0dc0e3fb050208a5e8e73639e3de444b4aba8,1,1,0,71,0,0,0,0,0,0,0,
0xc5204fb4e6e2e6e28d5e600bec11e73745fa97ef69d965661a8fdb6a02640ec5,1,1,0,72,0,0,0,0,0,0,0,
0xcaac8005580999930fe257b43ed31b9a1ac3f1beebad82d5e11200e6db57062e,1,1,0,74,0,0,0,0,0,0,0,
0xac923ab407f419bd1fae2ba805a1cdd31ed2808db67ea29416794a29e6f36484,1,1,0,74,0,0,0,0,0,0,0,
0x3ed93a42c433a50479ed490244adadc00495ef46c35a3c9baa7541b573ee0c99,1,1,0,74,0,0,0,0,0,0,0,
0x492b70618f7c9c87b07fbf35af5cfeef7a07277d6f70fafcbe7cdcec5efbad71,1,1,0,74,0,0,0,0,0,0,0,
0xde4abb716438795a60217c4fed0758cf63560297fdf38acc2543b36c38cb02d0,1,1,0,75,0,0,0,0,0,0,0,
0x2d6e01a2eb21fe1bc9a827466de499dbacebe6b68256a01ed01514760327bb23,1,1,0,78,0,0,0,0,0,0,0,
0x711cd9a928adb7315bbbcb7862772d7fb152ed338592ee7c23b6f4cb5e3d202d,1,1,0,78,0,0,0,0,0,0,0,
0xf7eb48c388c24b809716c82970ba802e3e29a86c034cc825193c4a11f6bb6f31,1,1,0,79,0,0,0,0,0,0,0,
0x716fcdbc87ecadadc53da9a18268d8d6bef46d7bd104178c9997fbf70f51b8f4,1,1,0,79,0,0,0,0,0,0,0,
0xd5cdd4db5b29c93af6117b9e27370d473190c10aad77302b8b6f62ad14de1703,1,1,0,80,0,0,0,0,0,0,0,
0x7e7537af91f5c35a13c530ad754ea3387c2e123609199826291ea04b6f76d6b4,1,1,0,81,0,0,0,0,0,0,0,
0x37a07f7e21a693140dc895345874d080b352b95197af0b4b632f5fbd7185fa5b,1,1,0,83,0,0,0,0,0,0,0,
0x1413f029a330e0e34cfc0e2190905a7555ea3c311618d23609d2391d60308600,1,1,0,84,0,0,0,0,0,0,0,
0x524469de8c28d7bf8c4a042e3bc5f535d481634eea2985ca539cef6fb3917b5f,1,1,0,84,0,0,0,0,0,0,0,
0x6dfd54a057cbaa1215f99d29d1a03ff747fb5dc8966fabad606c8ca66ba36f6e,1,1,0,85,0,0,0,0,0,0,0,
0xe5aca91edd59074ba916c716e9d11f5f4d8ccbcad7d294b6981d7df40f3e1e3,1,1,0,85,0,0,0,0,0,0,0,
0x78b0feee1baf85b566fa81b4dfb6e8a09337efb58bebafd65b3fd3d76425797f,1,1,0,85,0,0,0,0,0,0,0,
0x88f9903155348ab65aae926fd411a50393615952d175940b62ea618528f040cd,1,1,0,85,0,0,0,0,0,0,0,
0xf58a568a7a8aa29359ecca7104836aa6f7f5273bb34ada42ff459552ebce0d4d,1,1,0,85,0,0,0,0,0,0,0,
